Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,4.7uF,C109456
C10,0603,1,15pF,C107037
"C11, C15",0603,2,1uF,C106214
"C12, C13, C14, C16, C3, C4, C5, C6, C7, C8, C9",0603,11,100nF,C14663
D1,0603,1,LED,C434421
J1,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,1,USB_CONN,C136657
"R1, R2",0603,2,27.4,C185346
"R3, R4, R5",0603,3,10k, C98220
R6,0603,1,300, C114617
R7,0603,1,DNP, C98220
R8,0603,1,1k, C22548
"SW1, SW2",SW_SPST_B3U-3000P,2,SW_Push,C963349
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,ADXL3x5,1,ADXL345,C9667
U3,SOT-89-5,1,WL2803K,C192927
U4,WSON-8-1EP_4x4mm_P0.8mm_EP2.2x3mm,1,W25Q64JVXGIQ,C2940195
U5,Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm,1,12MHz,C7425459
