Designator,Mid X,Mid Y,Rotation,Layer
C1,112.25,-94.0,180.0,bottom
C10,121.0,-92.75,270.0,top
C11,127.75,-87.75,180.0,bottom
C12,127.75,-89.25,180.0,bottom
C13,127.75,-86.25,180.0,bottom
C14,122.5,-97.5,90.0,bottom
C15,121.0,-97.5,90.0,bottom
C16,127.75,-93.75,180.0,top
C2,112.25,-92.5,180.0,bottom
C3,127.75,-92.25,0.0,top
C4,113.25,-88.0,0.0,bottom
C5,124.0,-97.5,270.0,bottom
C6,116.0,-97.5,270.0,bottom
C7,127.75,-90.75,0.0,top
C8,113.25,-89.5,0.0,bottom
C9,116.0,-92.75,270.0,top
D1,113.25,-91.0,0.0,bottom
J1,120.0,-87.75,180.0,top
R1,123.25,-92.25,0.0,top
R2,123.25,-93.75,0.0,top
R3,119.25,-97.5,90.0,bottom
R4,117.75,-97.5,90.0,bottom
R5,113.25,-86.5,180.0,bottom
R6,111.0,-87.5,270.0,bottom
R8,125.5,-87.5,180.0,top
SW1,112.5,-86.75,90.0,top
SW2,128.5,-87.5,0.0,top
U1,120.0,-90.0,180.0,bottom
U2,120.0,-97.5,90.0,top
U3,112.75,-91.85,270.0,top
U4,127.75,-92.8,90.0,bottom
U5,118.5,-93.0,90.0,top
